,프로젝트번호,행번,역할,업무명,개발의뢰번호,의뢰자행번,최초일자,최종일자,기간
13380,P2020-08397-02,12102600,개발자,유동성,R2020-08397,6223834,2020-07-08,2020-09-16,70 days 00:00:00.000000000
13381,P2020-08397-02,06169155,개발자,유동성,R2020-08397,6223834,2020-07-08,2020-09-16,70 days 00:00:00.000000000
13382,P2020-08397-02,19101260,개발자,유동성,R2020-08397,6223834,2020-07-08,2020-09-16,70 days 00:00:00.000000000
13383,P2020-08397-02,18100953,개발자,유동성,R2020-08397,6223834,2020-07-08,2020-09-16,70 days 00:00:00.000000000
13384,P2020-08397-03,11121005,PM,BPR여신,R2020-08397,6223834,2020-07-14,2020-09-07,55 days 00:00:00.000000000
13385,P2020-08397-03,08101003,개발자,BPR여신,R2020-08397,6223834,2020-07-14,2020-09-07,55 days 00:00:00.000000000
13386,P2020-08397-03,16103002,개발자,BPR여신,R2020-08397,6223834,2020-07-14,2020-09-07,55 days 00:00:00.000000000
13387,P2020-08397-03,16051008,개발자,BPR여신,R2020-08397,6223834,2020-07-14,2020-09-07,55 days 00:00:00.000000000
13388,P2020-08397-04,06174670,PM,실행 및 상환,R2020-08397,6223834,2020-07-23,2020-09-18,57 days 00:00:00.000000000
13389,P2020-08397-04,06215297,개발자,실행 및 상환,R2020-08397,6223834,2020-07-23,2020-09-18,57 days 00:00:00.000000000
13390,P2020-08397-04,19101287,개발자,실행 및 상환,R2020-08397,6223834,2020-07-23,2020-09-18,57 days 00:00:00.000000000
13391,P2020-08397-06,18011018,PM,개인인터넷뱅킹(DS),R2020-08397,6223834,2020-08-25,2020-09-04,10 days 00:00:00.000000000
