,프로젝트번호,행번,역할,업무명,개발의뢰번호,의뢰자행번,최초일자,최종일자,기간
13217,P2020-0829-01,06163718,개발자,펌뱅킹,R2020-0829,8202214,2020-02-07,2020-03-02,24 days 00:00:00.000000000
13218,P2020-08294-01,06177281,PM,여신회수,R2020-08294,6178529,2020-07-06,2020-07-31,25 days 00:00:00.000000000
13219,P2020-08294-01,19201559,개발자,여신회수,R2020-08294,6178529,2020-07-06,2020-07-31,25 days 00:00:00.000000000
13220,P2020-08294-01,18100929,개발자,여신회수,R2020-08294,6178529,2020-07-06,2020-07-31,25 days 00:00:00.000000000
13221,P2020-08294-02,06167497,PM,여신공통,R2020-08294,6178529,2020-07-27,2020-07-31,4 days 00:00:00.000000000
13222,P2020-08294-03,15101193,PM,개인상담신청,R2020-08294,6178529,2020-07-27,2020-07-31,4 days 00:00:00.000000000
13223,P2020-08294-03,19101295,개발자,개인상담신청,R2020-08294,6178529,2020-07-27,2020-07-31,4 days 00:00:00.000000000
13224,P2020-08294-04,18011018,PM,개인인터넷뱅킹(DS),R2020-08294,6178529,2020-07-27,2020-08-03,7 days 00:00:00.000000000
13225,P2020-08297-01,07100779,PM,디지털공통,R2020-08297,7100779,2020-07-06,2020-08-06,31 days 00:00:00.000000000
13226,P2020-08297-01,17100811,개발자,디지털공통,R2020-08297,7100779,2020-07-06,2020-08-06,31 days 00:00:00.000000000
13227,P2020-08297-01,18101542,개발자,디지털공통,R2020-08297,7100779,2020-07-06,2020-08-06,31 days 00:00:00.000000000
13228,P2020-08297-01,19200196,개발자,디지털공통,R2020-08297,7100779,2020-07-06,2020-08-06,31 days 00:00:00.000000000
13229,P2020-08297-01,20200129,개발자,디지털공통,R2020-08297,7100779,2020-07-06,2020-08-06,31 days 00:00:00.000000000
13230,P2020-08298-01,06164102,PM,국내모바일앱,R2020-08298,16200802,2020-07-06,2020-08-21,46 days 00:00:00.000000000
13231,P2020-08299-01,06158250,PM,무역외,R2020-08299,17602017,2020-07-13,2020-08-19,37 days 00:00:00.000000000
13232,P2020-08299-01,16200780,개발자,무역외,R2020-08299,17602017,2020-07-13,2020-08-19,37 days 00:00:00.000000000
13233,P2020-08299-02,19601786,PM,SBJ은행,R2020-08299,17602017,2020-07-14,2020-08-11,28 days 00:00:00.000000000
13234,P2020-0830-01,06174175,PM,자동이체 공통,R2020-0830,13100394,2020-01-31,2020-06-23,144 days 00:00:00.000000000
13235,P2020-0830-01,19100851,개발자,자동이체 공통,R2020-0830,13100394,2020-01-31,2020-06-23,144 days 00:00:00.000000000
13236,P2020-08302-01,15100677,PM,국내무역,R2020-08302,6220924,2020-07-06,2020-08-18,43 days 00:00:00.000000000
13237,P2020-08302-01,06178103,개발자,국내무역,R2020-08302,6220924,2020-07-06,2020-08-18,43 days 00:00:00.000000000
13238,P2020-08303-01,15051004,PM,ALM,R2020-08303,10200533,2020-07-06,2020-07-31,25 days 00:00:00.000000000
13239,P2020-08303-01,19061020,개발자,ALM,R2020-08303,10200533,2020-07-06,2020-07-31,25 days 00:00:00.000000000
13240,P2020-08305-01,12102600,PM,유동성,R2020-08305,6222544,2020-07-06,2020-10-05,91 days 00:00:00.000000000
13241,P2020-08305-01,06169155,개발자,유동성,R2020-08305,6222544,2020-07-06,2020-10-05,91 days 00:00:00.000000000
13242,P2020-08305-01,20200137,개발자,유동성,R2020-08305,6222544,2020-07-06,2020-10-05,91 days 00:00:00.000000000
13243,P2020-08305-01,19101260,개발자,유동성,R2020-08305,6222544,2020-07-06,2020-10-05,91 days 00:00:00.000000000
13244,P2020-08305-01,20100213,개발자,유동성,R2020-08305,6222544,2020-07-06,2020-10-05,91 days 00:00:00.000000000
13245,P2020-08305-01,18100953,개발자,유동성,R2020-08305,6222544,2020-07-06,2020-10-05,91 days 00:00:00.000000000
13246,P2020-08305-02,11104015,PM,정기성,R2020-08305,6222544,2020-08-03,2020-10-05,63 days 00:00:00.000000000
13247,P2020-08305-02,20100061,개발자,정기성,R2020-08305,6222544,2020-08-03,2020-10-05,63 days 00:00:00.000000000
13248,P2020-08305-03,06165958,PM,국내모바일앱,R2020-08305,6222544,2020-08-14,2020-10-05,52 days 00:00:00.000000000
13249,P2020-08306-01,06224784,PM,불특정금전신탁,R2020-08306,6224784,2020-07-06,2020-08-03,28 days 00:00:00.000000000
13250,P2020-08306-02,06165958,PM,국내모바일앱,R2020-08306,6224784,2020-07-06,2020-07-31,25 days 00:00:00.000000000
13251,P2020-08308-01,17101003,PM,차입금관리,R2020-08308,7100973,2020-07-06,2020-08-12,37 days 00:00:00.000000000
13252,P2020-08308-01,02101008,개발자,차입금관리,R2020-08308,7100973,2020-07-06,2020-08-12,37 days 00:00:00.000000000
13253,P2020-08308-01,18101014,개발자,차입금관리,R2020-08308,7100973,2020-07-06,2020-08-12,37 days 00:00:00.000000000
13254,P2020-08308-01,08061010,개발자,차입금관리,R2020-08308,7100973,2020-07-06,2020-08-12,37 days 00:00:00.000000000
13255,P2020-08308-01,11071007,개발자,차입금관리,R2020-08308,7100973,2020-07-06,2020-08-12,37 days 00:00:00.000000000
13256,P2020-08308-02,16041010,PM,사후관리,R2020-08308,7100973,2020-07-14,2020-08-12,29 days 00:00:00.000000000
13257,P2020-0831-01,16507916,PM,수탁업무,R2020-0831,7610793,2020-01-31,2020-02-17,17 days 00:00:00.000000000
13258,P2020-08312-01,20602359,PM,SBJ은행,R2020-08312,20602359,2020-07-06,2020-07-10,4 days 00:00:00.000000000
13259,P2020-08314-01,06217567,PM,BASEL,R2020-08314,6217567,2020-07-06,2020-08-07,32 days 00:00:00.000000000
13260,P2020-08317-01,07071002,PM,정보S,R2020-08317,7071002,2020-07-06,2020-08-03,28 days 00:00:00.000000000
13261,P2020-08317-01,18091004,개발자,정보S,R2020-08317,7071002,2020-07-06,2020-08-03,28 days 00:00:00.000000000
13262,P2020-08317-01,19011050,개발자,정보S,R2020-08317,7071002,2020-07-06,2020-08-03,28 days 00:00:00.000000000
13263,P2020-08317-01,18061006,개발자,정보S,R2020-08317,7071002,2020-07-06,2020-08-03,28 days 00:00:00.000000000
13264,P2020-08318-01,06148069,PM,수익증권,R2020-08318,11101865,2020-07-06,2021-03-12,249 days 00:00:00.000000000
13265,P2020-08319-01,06175971,PM,국내모바일앱,R2020-08319,8103070,2020-07-06,2020-07-15,9 days 00:00:00.000000000
13266,P2020-08319-01,20200153,개발자,국내모바일앱,R2020-08319,8103070,2020-07-06,2020-07-15,9 days 00:00:00.000000000
13267,P2020-0832-01,17032002,PM,(신)GIS,R2020-0832,17032002,2020-01-30,2020-02-29,30 days 00:00:00.000000000
13268,P2020-08321-01,06226493,PM,개인CRM,R2020-08321,6226493,2020-07-06,2020-08-03,28 days 00:00:00.000000000
13269,P2020-08321-01,17100770,개발자,개인CRM,R2020-08321,6226493,2020-07-06,2020-08-03,28 days 00:00:00.000000000
13270,P2020-08321-01,15100626,개발자,개인CRM,R2020-08321,6226493,2020-07-06,2020-08-03,28 days 00:00:00.000000000
13271,P2020-08321-01,20100299,개발자,개인CRM,R2020-08321,6226493,2020-07-06,2020-08-03,28 days 00:00:00.000000000
13272,P2020-08321-01,06220886,개발자,개인CRM,R2020-08321,6226493,2020-07-06,2020-08-03,28 days 00:00:00.000000000
13273,P2020-08321-01,06142869,개발자,개인CRM,R2020-08321,6226493,2020-07-06,2020-08-03,28 days 00:00:00.000000000
13274,P2020-08321-01,20100086,개발자,개인CRM,R2020-08321,6226493,2020-07-06,2020-08-03,28 days 00:00:00.000000000
13275,P2020-08321-01,06169163,개발자,개인CRM,R2020-08321,6226493,2020-07-06,2020-08-03,28 days 00:00:00.000000000
13276,P2020-08321-01,18101811,개발자,개인CRM,R2020-08321,6226493,2020-07-06,2020-08-03,28 days 00:00:00.000000000
13277,P2020-08321-01,06216765,개발자,개인CRM,R2020-08321,6226493,2020-07-06,2020-08-03,28 days 00:00:00.000000000
13278,P2020-08321-01,16200527,개발자,개인CRM,R2020-08321,6226493,2020-07-06,2020-08-03,28 days 00:00:00.000000000
13279,P2020-08321-01,18201393,개발자,개인CRM,R2020-08321,6226493,2020-07-06,2020-08-03,28 days 00:00:00.000000000
13280,P2020-08328-01,06180035,PM,검사관리,R2020-08328,6139530,2020-07-06,2020-07-31,25 days 00:00:00.000000000
13281,P2020-0833-01,06226523,PM,기업인터넷뱅킹,R2020-0833,6226523,2020-01-30,2020-03-31,61 days 00:00:00.000000000
13282,P2020-08332-02,06133819,PM,금리 Factory,R2020-08332,6216056,2020-07-07,2020-07-27,20 days 00:00:00.000000000
13283,P2020-08332-03,17100496,PM,IB 공통,R2020-08332,6216056,2020-07-08,2020-10-08,92 days 00:00:00.000000000
13284,P2020-08333-01,06180035,PM,검사관리,R2020-08333,6172482,2020-07-06,2020-07-24,18 days 00:00:00.000000000
13285,P2020-08334-01,15100881,PM,온라인서비스,R2020-08334,14200074,2020-07-06,2020-07-31,25 days 00:00:00.000000000
13286,P2020-08335-01,15100881,PM,온라인서비스,R2020-08335,14200074,2020-07-06,2020-08-31,56 days 00:00:00.000000000
13287,P2020-08339-01,03041007,PM,개인인터넷뱅킹(DS),R2020-08339,13200460,2020-07-08,2020-07-31,23 days 00:00:00.000000000
13288,P2020-08339-01,08011001,개발자,개인인터넷뱅킹(DS),R2020-08339,13200460,2020-07-08,2020-07-31,23 days 00:00:00.000000000
13289,P2020-08339-01,20021002,개발자,개인인터넷뱅킹(DS),R2020-08339,13200460,2020-07-08,2020-07-31,23 days 00:00:00.000000000
13290,P2020-0834-01,15051004,PM,리스크분석및모니터링,R2020-0834,15051004,2020-01-30,2020-02-28,29 days 00:00:00.000000000
13291,P2020-0834-01,08051001,개발자,리스크분석및모니터링,R2020-0834,15051004,2020-01-30,2020-02-28,29 days 00:00:00.000000000
13292,P2020-0834-01,19061020,개발자,리스크분석및모니터링,R2020-0834,15051004,2020-01-30,2020-02-28,29 days 00:00:00.000000000
